Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
OZ,Belpointe PREP LLC Class A Units,$96.31,0.06,0.062%,342329080.00,,,4461,,
PCG^A,Pacific Gas & Electric Co. 6% Preferred Stock,$22.15,0.43,1.98%,,United States,,7290,,
PCG^B,Pacific Gas & Electric Co. 5 1/2% Preferred Stock,$19.51,-0.29,-1.465%,,United States,,6109,,
PCG^C,Pacific Gas & Electric Co. 5% 1st Preferred Stock,$17.8144,0.0544,0.306%,,United States,,521,,
PCG^D,Pacific Gas & Electric Co. 5% 1st  Red. Preferred Stock,$17.60,0.01,0.057%,,United States,,1926,,
PCG^E,Pacific Gas & Electric Co. 5% 1st A Preferred Stock,$17.5599,0.0299,0.171%,,United States,,2166,,
PCG^G,Pacific Gas & Electric Co. 4.80% 1st Preferred Stock,$17.00,0.00,0.00%,,United States,,5,,
PCG^H,Pacific Gas & Electric Co. 4.50% 1st Preferred Stock,$16.80,0.00,0.00%,,United States,,1,,
PCG^I,Pacific Gas & Electric Co. 4.36% 1st Preferred Stock,$16.10,0.00,0.00%,,United States,,1,,
PED,Pedevco Corp. Common Stock,$1.02,0.01,0.99%,87506072.00,United States,,63907,,
PHGE,BiomX Inc. COmmon Stock,$0.50,-0.0226,-4.325%,14991141.00,,2019,143533,Health Care,Biotechnology: Pharmaceutical Preparations
PLAG,Planet Green Holdings Corp. Common Stock,$0.59,0.00,0.00%,42528339.00,China,,3664,,
PLG,Platinum Group Metals Ltd. Ordinary Shares (Canada),$1.49,0.07,4.93%,149307009.00,Canada,,237525,,
PLM,Polymet Mining Corporation Ordinary Shares (Canada),$2.65,0.02,0.76%,268898500.00,Canada,,77434,,
PLX,Protalix BioTherapeutics Inc. (DE) Common Stock,$2.05,0.07,3.535%,103864476.00,Israel,,1252866,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
PLYM^A,Plymouth Industrial REIT Inc. 7.50% Series A Cumulative Redeemable Preferred Stock,$25.42,0.07,0.276%,,United States,,202,,
POL,Polished Inc. Common Stock,$0.7137,0.0262,3.811%,75101135.00,United States,2020,194671,Consumer Discretionary,Other Specialty Stores
PRK,Park National Corporation Common Stock,$127.71,0.68,0.535%,2077022185.00,United States,1994,28217,Finance,Major Banks
PTN,Palatin Technologies Inc. Common Stock,$3.20,0.23,7.744%,35688576.00,United States,1999,57402,Health Care,Biotechnology: Pharmaceutical Preparations
PW,Power REIT (MD) Common Stock,$4.40,-0.0799,-1.784%,14914508.00,United States,1998,7446,Real Estate,Real Estate Investment Trusts
PW^A,Power REIT 7.75% Series A Cumulative Perpetual Preferred Stock,$13.95,-0.0191,-0.137%,,United States,,112,,
PZG,Paramount Gold Nevada Corp. Common Stock,$0.32,0.0097,3.126%,15465395.00,United States,2015,103326,Basic Materials,Precious Metals
RCG,RENN Fund Inc Common Stock,$1.73,-0.02,-1.143%,12137308.00,United States,,4915,Finance,Investment Managers
REI,Ring Energy Inc. Common Stock,$2.30,0.07,3.139%,401146066.00,United States,,2154706,Energy,Oil & Gas Production
REPX,Riley Exploration Permian Inc. Common Stock,$33.07,0.45,1.38%,666698806.00,United States,1999,14479,Energy,Oil & Gas Production
RHE,Regional Health Properties Inc. Common Stock,$3.91,0.09,2.356%,6992405.00,,2017,13717,Health Care,Hospital/Nursing Management
RHE^A,Regional Health Properties Inc. 10.875% Series A Cumulative Redeemable Preferred Stock,$5.30,-0.25,-4.505%,,,,1865,,
RLGT,Radiant Logistics Inc. Common Stock,$5.89,0.06,1.029%,283779210.00,United States,,98362,Consumer Discretionary,Oil Refining/Marketing
RMED,Ra Medical Systems Inc. Common Stock,$2.13,-0.21,-8.974%,6016194.00,,2018,244641,Health Care,Medical/Dental Instruments
RVP,Retractable Technologies Inc. Common Stock,$1.94,0.0101,0.523%,63898088.00,United States,2001,10963,Health Care,Medical/Dental Instruments
SACC,Sachem Capital Corp. 6.875% Notes due 2024,$23.70,0.0499,0.211%,0.00,United States,2019,1335,Real Estate,Real Estate Investment Trusts
SACH,Sachem Capital Corp. Common Shares,$3.82,0.05,1.326%,155839608.00,United States,2017,180151,Real Estate,Real Estate Investment Trusts
SACH^A,Sachem Capital Corp. 7.75% Series A Cumulative Redeemable Preferred Stock,$22.2399,-0.0301,-0.135%,,United States,,8112,,
SATX,SatixFy Communications Ltd. Ordinary Share,$1.28,0.00,0.00%,105821023.00,,2022,681195,,
SBEV,Splash Beverage Group Inc. (NV) Common Stock,$1.34,0.0125,0.942%,53735495.00,,2021,90706,Consumer Staples,Beverages (Production/Distribution)
SCCB,Sachem Capital Corp. 7.125% Notes due 2024,$24.70,-0.05,-0.202%,0.00,United States,2019,1120,Real Estate,Real Estate Investment Trusts
SCCC,Sachem Capital Corp. 7.75% Notes due 2025,$23.95,0.005,0.021%,0.00,United States,2020,3370,Real Estate,Real Estate Investment Trusts
SCCD,Sachem Capital Corp. 6.00% Notes due 2026,$21.495,0.145,0.679%,0.00,United States,,1557,Real Estate,Real Estate Investment Trusts
SCCE,Sachem Capital Corp. 6.00% Notes due 2027,$20.95,0.21,1.013%,0.00,United States,2022,17769,Real Estate,Real Estate Investment Trusts
SCCF,Sachem Capital Corp. 7.125% Notes due 2027,$21.77,0.00,0.00%,0.00,United States,2022,6537,Real Estate,Real Estate Investment Trusts
SCCG,Sachem Capital Corp. 8.00% Notes due 2027,$22.395,0.015,0.067%,0.00,United States,2022,4240,Real Estate,Real Estate Investment Trusts
SDPI,Superior Drilling Products Inc. Common Stock,$1.07,-0.07,-6.14%,31292236.00,,2014,111488,Industrials,Metal Fabrications
SEB,Seaboard Corporation Common Stock,$3873.79,-20.20,-0.519%,4496614082.00,United States,1996,744,Industrials,Consumer Electronics/Appliances
SENS,Senseonics Holdings Inc. Common Stock,$1.05,0.08,8.247%,502169165.00,United States,,2504318,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
SIF,SIFCO Industries Inc. Common Stock,$3.01,-0.1009,-3.243%,18355633.00,United States,1969,10150,Industrials,Office Equipment/Supplies/Services
SILV,SilverCrest Metals Inc. Common Shares,$5.62,0.13,2.368%,827018204.00,,2018,746666,Industrials,Industrial Machinery/Components
SIM,Grupo Simec S.A.B. de C.V. American Depositary Shares,$34.06,0.01,0.029%,5246782782.00,Mexico,1998,976,Industrials,Aluminum
SKYH,Sky Harbour Group Corporation Class A Common Stock,$8.15,-0.23,-2.745%,121947073.00,,2022,64965,Industrials,Military/Government/Technical
SLI,Standard Lithium Ltd. Common Shares,$4.41,0.18,4.255%,738684689.00,,2021,790866,,
SLND,Southland Holdings Inc. Common Stock,$8.08,0.13,1.635%,358815274.00,United States,,142669,Industrials,Engineering & Construction
SNMP,Evolve Transition Infrastructure LP Common Stock,$0.249,0.005,2.049%,49268239.00,United States,,120884,Energy,Oil & Gas Production
SSY,SunLink Health Systems Inc. Common Stock,$1.14,-0.02,-1.724%,8016027.00,United States,1996,4762,Consumer Staples,Retail-Drug Stores and Proprietary Stores
STRW,Strawberry Fields REIT Inc. Common Stock,$7.50,-0.34,-4.337%,45331725.00,,2023,3556,Real Estate,Real Estate Investment Trusts
STXS,Stereotaxis Inc. Common Stock,$2.44,-0.16,-6.154%,182621102.00,United States,,465690,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
SVM,Silvercorp Metals Inc. Common Shares,$3.25,0.06,1.881%,574506611.00,,,614997,,
SVT,Servotronics Inc. Common Stock,$11.51,0.86,8.075%,28890583.00,United States,1970,2751,Consumer Discretionary,Metal Fabrications
TELL,Tellurian Inc. Common Stock,$1.56,0.03,1.961%,880725406.00,United States,,9494163,Energy,Oil & Gas Production
TELZ,Tellurian Inc. 8.25% Senior Notes due 2028,$17.8501,-0.1374,-0.764%,0.00,United States,,9421,Energy,Oil & Gas Production
TGB,Taseko Mines Ltd. Common Stock,$1.78,0.00,0.00%,509795416.00,Canada,,1261962,,
THM,International Tower Hill Mines Ltd. Ordinary Shares (Canada),$0.5538,0.0109,2.008%,108164441.00,Canada,,57122,,
TKAT,Takung Art Co. Ltd. Common Stock,$0.85,0.075,9.677%,29743103.00,,,91626,Consumer Discretionary,Catalog/Specialty Distribution
TMBR,Timber Pharmaceuticals Inc. Common Stock,$2.70,0.20,8.00%,8022885.00,United States,2015,250162,Health Care, Medicinal Chemicals and Botanical Products 
TMP,Tompkins Financial Corporation Common Stock,$74.56,0.96,1.304%,1082598599.00,United States,1997,30314,Finance,Major Banks
TMQ,Trilogy Metals Inc. Common Stock,$0.571,0.00,0.00%,84920661.00,Canada,,149119,,
TOVX,Theriva Biologics Inc. Common Stock,$0.8624,0.0043,0.501%,13663918.00,United States,,28350,Health Care,Biotechnology: Pharmaceutical Preparations
TPHS,Trinity Place Holdings Inc. Common Stock,$0.8101,0.0302,3.872%,29899059.00,,,6985,Real Estate,Real Estate
TRT,Trio-Tech International Common Stock,$4.5771,0.1671,3.789%,18659372.00,United States,1998,6140,Technology,Industrial Machinery/Components
TRX,TRX Gold Corporation Common Stock,$0.4399,0.0235,5.644%,121725259.00,Canada,,355202,,
UAMY,United States Antimony Corporation Common Stock,$0.398,0.0009,0.227%,42336590.00,United States,,136216,,
UAVS,AgEagle Aerial Systems Inc. Common Stock,$0.4271,0.0121,2.916%,37588708.00,United States,,222288,Industrials,Wholesale Distributors
UEC,Uranium Energy Corp. Common Stock,$3.74,0.11,3.03%,1383063377.00,Canada,,6926524,Basic Materials,Other Metals and Minerals
UFAB,Unique Fabricating Inc. Common Stock,$0.278,0.0182,7.005%,3261815.00,United States,2015,146430,Consumer Discretionary,Auto Parts:O.E.M.
URG,Ur Energy Inc Common Shares (Canada),$1.10,0.00,0.00%,248162534.00,Canada,,507265,,
USAS,Americas Gold and Silver Corporation Common Shares no par value,$0.49,0.00,0.00%,93822728.00,,2017,261673,,
UTG,Reaves Utility Income Fund Common Shares of Beneficial Interest,$28.26,0.40,1.436%,2062010484.00,United States,2004,289478,Finance,Investment Managers
UUU,Universal Security Instruments Inc. Common Stock,$2.57,0.085,3.421%,5944120.00,United States,2003,33014,Technology,Security Systems Services
UUUU,Energy Fuels Inc Ordinary Shares (Canada),$6.67,0.17,2.615%,1051361438.00,,,1351360,,
VFL,Delaware Investments National Municipal Income Fund Common Stock,$10.4101,0.0601,0.581%,218161291.00,United States,1993,5496,Finance,Finance/Investors Services
VGZ,Vista Gold Corp Common Stock,$0.5247,0.0048,0.923%,62434015.00,United States,1986,131481,,
VHAQ,Viveon Health Acquisition Corp. Common Stock,$10.75,0.00,0.00%,73917258.00,,2021,705,Industrials,Consumer Electronics/Appliances
VINE,Fresh Vine Wine Inc. Common Stock,$1.02,-0.07,-6.422%,12986902.00,,2021,14313,Consumer Staples,Beverages (Production/Distribution)
VKI,Invesco Advantage Municipal Income Trust II Common Shares of Beneficial Interest (DE),$8.47,0.01,0.118%,376118989.00,United States,1993,78060,Finance,Finance Companies
VNRX,VolitionRX Limited Common Stock,$1.92,-0.13,-6.341%,111628393.00,Singapore,2015,153786,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
VZLA,Vizsla Silver Corp. Common Shares,$1.33,0.03,2.308%,240006678.00,,2022,131261,,
WLMS,Williams Industrial Services Group Inc. Common Stock,$1.01,0.01,1.00%,26686989.00,,2021,20395,Industrials,Engineering & Construction
WRAC,Williams Rowland Acquisition Corp. Common Stock,$10.21,0.00,0.00%,293537500.00,,2021,161,Industrials,Consumer Electronics/Appliances
WRN,Western Copper and Gold Corporation Common Stock,$1.755,0.105,6.364%,266053593.00,Canada,2011,170774,,
WTT,Wireless Telecom Group  Inc. Common Stock,$1.85,0.02,1.093%,39879989.00,United States,1993,27440,Telecommunications,Telecommunications Equipment
WWR,Westwater Resources Inc. Common Stock,$0.9793,0.0443,4.738%,47071702.00,United States,,249217,Basic Materials,Other Metals and Minerals
WYY,WidePoint Corporation Common Stock,$2.03,0.04,2.01%,17712716.00,United States,,28520,Technology,EDP Services
XPL,Solitario Zinc Corp. Common Stock,$0.75,0.0073,0.983%,48576655.00,United States,,41344,Basic Materials,Precious Metals
XTNT,Xtant Medical Holdings Inc. Common Stock,$1.02,-0.16,-13.559%,110832576.00,United States,,150531,Health Care,Medical Specialities
YCBD,cbdMD Inc. Common Stock,$0.2397,-0.0083,-3.347%,15683496.00,United States,2017,171293,Health Care,Biotechnology: Pharmaceutical Preparations
YCBD^A,cbdMD Inc. 8.0% Series A Cumulative Convertible Preferred Stock,$4.15,0.0001,0.002%,,United States,,5080,,
ZDGE,Zedge Inc. Class B Common Stock ,$2.76,-0.02,-0.719%,40778409.00,,2016,20060,Technology,Internet and Information Services
ZOM,Zomedica Corp. Common Shares,$0.2585,0.0135,5.51%,253316989.00,United States,2017,5086485,Health Care,Pharmaceuticals and Biotechnology
